"ModuleName","ModuleMemorySize"
"bingee-desktop.exe","16941056"
"ntdll.dll","2519040"
"KERNEL32.DLL","831488"
"KERNELBASE.dll","4202496"
"user32.dll","1896448"
"win32u.dll","159744"
"GDI32.dll","176128"
"gdi32full.dll","1216512"
"msvcp_win.dll","667648"
"ucrtbase.dll","1359872"
"shlwapi.dll","417792"
"oleaut32.dll","888832"
"comctl32.dll","741376"
"combase.dll","3690496"
"uiautomationcore.dll","4325376"
"dwmapi.dll","192512"
"ADVAPI32.dll","770048"
"RPCRT4.dll","1146880"
"msvcrt.dll","692224"
"sechost.dll","692224"
"shell32.dll","7962624"
"ole32.dll","1679360"
"bcryptprimitives.dll","704512"
"imm32.dll","200704"
"dwrite.dll","2531328"
"OPENGL32.dll","1097728"
"VCRUNTIME140.dll","180224"
"uxtheme.dll","688128"
"GLU32.dll","184320"
"dxcore.dll","278528"
"AudioDevProps2.dll","1257472"
"WS2_32.dll","524288"
"apphelp.dll","651264"
"MSCTF.dll","1421312"
"kernel.appcore.dll","110592"
"clbcatq.dll","712704"
"dataexchange.dll","376832"
"twinapi.appcore.dll","2424832"
"explorerframe.dll","3244032"
"SHCORE.dll","1028096"
"powrprof.dll","385024"
"UMPDC.dll","86016"
"directxdatabasehelper.dll","385024"
"cfgmgr32.dll","335872"
"windows.staterepositorycore.dll","122880"
"nvoglv64.dll","48934912"
"SETUPAPI.dll","4747264"
"WTSAPI32.dll","172032"
"VERSION.dll","45056"
"CRYPT32.dll","1564672"
"SspiCli.dll","299008"
"msasn1.dll","77824"
"cryptnet.dll","241664"
"cryptbase.dll","49152"
"wldp.dll","434176"
"drvstore.dll","1548288"
"devobj.dll","192512"
"ntmarta.dll","221184"
"WINTRUST.dll","532480"
"imagehlp.dll","131072"
"CRYPTSP.dll","110592"
"rsaenh.dll","233472"
"bcrypt.dll","172032"
"nvgpucomp64.dll","110788608"
"windows.storage.dll","9101312"
"nvspcap64.dll","1495040"
"profapi.dll","167936"
"WINSTA.dll","409600"
"sxs.dll","663552"
"dxgi.dll","1290240"
"d3d11.dll","2490368"
"nvldumdx.dll","843776"
"NvMemMapStoragex.dll","1421312"
"WINMM.dll","221184"
"nvwgf2umx.dll","90284032"
"nvppex.dll","7499776"
"nvapi64.dll","561152"
"nvapi64_impl.dll","5840896"
"igd10iumd64.dll","688128"
"igd10um64gen11.DLL","7430144"
"ncrypt.dll","196608"
"NTASN1.dll","258048"
"igdgmm64.dll","4231168"
"igc64.dll","58286080"
"dcomp.dll","2248704"
"Microsoft.Internal.WarpPal.dll","106496"
"textinputframework.dll","1318912"
"Oleacc.dll","479232"
