"commit","sample","pid","startup_proxy_ms","valid","reason"
"95feb454864907a29bcf84f629278dc861e10336","1","20388","712.7205","True",""
"95feb454864907a29bcf84f629278dc861e10336","2","9996","672.214","True",""
"95feb454864907a29bcf84f629278dc861e10336","3","3688","664.3136","True",""
"95feb454864907a29bcf84f629278dc861e10336","4","22396","657.1527","True",""
"95feb454864907a29bcf84f629278dc861e10336","5","25424","651.5021","True",""
"95feb454864907a29bcf84f629278dc861e10336","6","11204","650.1112","True",""
"95feb454864907a29bcf84f629278dc861e10336","7","22684","656.8743","True",""
"95feb454864907a29bcf84f629278dc861e10336","8","21532","649.1972","True",""
"95feb454864907a29bcf84f629278dc861e10336","9","20500","640.6626","True",""
"95feb454864907a29bcf84f629278dc861e10336","10","10628","654.8143","True",""
"95feb454864907a29bcf84f629278dc861e10336","11","15804","657.6966","True",""
"95feb454864907a29bcf84f629278dc861e10336","12","25992","638.8445","True",""
"95feb454864907a29bcf84f629278dc861e10336","13","18640","654.3781","True",""
"95feb454864907a29bcf84f629278dc861e10336","14","25520","662.1407","True",""
"95feb454864907a29bcf84f629278dc861e10336","15","25208","646.3517","True",""
"95feb454864907a29bcf84f629278dc861e10336","16","8680","660.52","True",""
"95feb454864907a29bcf84f629278dc861e10336","17","20324","663.629","True",""
"95feb454864907a29bcf84f629278dc861e10336","18","23340","640.725","True",""
"95feb454864907a29bcf84f629278dc861e10336","19","22116","635.9026","True",""
"95feb454864907a29bcf84f629278dc861e10336","20","13320","644.7803","True",""
