category,case,sample,elapsed_ns,rows,hits,misses,evictions,selected_id
overhead,timer_pair,0,100,0,0,0,0,-1
overhead,timer_pair,1,100,0,0,0,0,-1
overhead,timer_pair,2,100,0,0,0,0,-1
overhead,timer_pair,3,0,0,0,0,0,-1
overhead,timer_pair,4,100,0,0,0,0,-1
overhead,timer_pair,5,0,0,0,0,0,-1
overhead,timer_pair,6,100,0,0,0,0,-1
overhead,timer_pair,7,0,0,0,0,0,-1
overhead,timer_pair,8,0,0,0,0,0,-1
overhead,timer_pair,9,0,0,0,0,0,-1
overhead,timer_pair,10,0,0,0,0,0,-1
overhead,timer_pair,11,0,0,0,0,0,-1
overhead,timer_pair,12,100,0,0,0,0,-1
overhead,timer_pair,13,0,0,0,0,0,-1
overhead,timer_pair,14,0,0,0,0,0,-1
overhead,timer_pair,15,100,0,0,0,0,-1
overhead,timer_pair,16,100,0,0,0,0,-1
overhead,timer_pair,17,0,0,0,0,0,-1
overhead,timer_pair,18,100,0,0,0,0,-1
overhead,timer_pair,19,0,0,0,0,0,-1
overhead,timer_pair,20,0,0,0,0,0,-1
overhead,timer_pair,21,0,0,0,0,0,-1
overhead,timer_pair,22,100,0,0,0,0,-1
overhead,timer_pair,23,0,0,0,0,0,-1
overhead,timer_pair,24,0,0,0,0,0,-1
overhead,timer_pair,25,0,0,0,0,0,-1
overhead,timer_pair,26,100,0,0,0,0,-1
overhead,timer_pair,27,100,0,0,0,0,-1
overhead,timer_pair,28,0,0,0,0,0,-1
overhead,timer_pair,29,100,0,0,0,0,-1
overhead,timer_pair,30,0,0,0,0,0,-1
overhead,timer_pair,31,0,0,0,0,0,-1
overhead,timer_pair,32,100,0,0,0,0,-1
overhead,timer_pair,33,0,0,0,0,0,-1
overhead,timer_pair,34,100,0,0,0,0,-1
overhead,timer_pair,35,0,0,0,0,0,-1
overhead,timer_pair,36,0,0,0,0,0,-1
overhead,timer_pair,37,0,0,0,0,0,-1
overhead,timer_pair,38,0,0,0,0,0,-1
overhead,timer_pair,39,0,0,0,0,0,-1
overhead,timer_pair,40,0,0,0,0,0,-1
overhead,timer_pair,41,100,0,0,0,0,-1
overhead,timer_pair,42,0,0,0,0,0,-1
overhead,timer_pair,43,0,0,0,0,0,-1
overhead,timer_pair,44,0,0,0,0,0,-1
overhead,timer_pair,45,100,0,0,0,0,-1
overhead,timer_pair,46,100,0,0,0,0,-1
overhead,timer_pair,47,0,0,0,0,0,-1
overhead,timer_pair,48,0,0,0,0,0,-1
overhead,timer_pair,49,100,0,0,0,0,-1
overhead,timer_pair,50,100,0,0,0,0,-1
overhead,timer_pair,51,0,0,0,0,0,-1
overhead,timer_pair,52,0,0,0,0,0,-1
overhead,timer_pair,53,0,0,0,0,0,-1
overhead,timer_pair,54,0,0,0,0,0,-1
overhead,timer_pair,55,100,0,0,0,0,-1
overhead,timer_pair,56,0,0,0,0,0,-1
overhead,timer_pair,57,0,0,0,0,0,-1
overhead,timer_pair,58,0,0,0,0,0,-1
overhead,timer_pair,59,0,0,0,0,0,-1
overhead,timer_pair,60,100,0,0,0,0,-1
overhead,timer_pair,61,100,0,0,0,0,-1
overhead,timer_pair,62,0,0,0,0,0,-1
overhead,timer_pair,63,100,0,0,0,0,-1
overhead,timer_pair,64,100,0,0,0,0,-1
overhead,timer_pair,65,100,0,0,0,0,-1
overhead,timer_pair,66,100,0,0,0,0,-1
overhead,timer_pair,67,0,0,0,0,0,-1
overhead,timer_pair,68,0,0,0,0,0,-1
overhead,timer_pair,69,0,0,0,0,0,-1
overhead,timer_pair,70,0,0,0,0,0,-1
overhead,timer_pair,71,100,0,0,0,0,-1
overhead,timer_pair,72,0,0,0,0,0,-1
overhead,timer_pair,73,100,0,0,0,0,-1
overhead,timer_pair,74,0,0,0,0,0,-1
overhead,timer_pair,75,0,0,0,0,0,-1
overhead,timer_pair,76,0,0,0,0,0,-1
overhead,timer_pair,77,0,0,0,0,0,-1
overhead,timer_pair,78,100,0,0,0,0,-1
overhead,timer_pair,79,0,0,0,0,0,-1
overhead,timer_pair,80,100,0,0,0,0,-1
overhead,timer_pair,81,0,0,0,0,0,-1
overhead,timer_pair,82,100,0,0,0,0,-1
overhead,timer_pair,83,100,0,0,0,0,-1
overhead,timer_pair,84,0,0,0,0,0,-1
overhead,timer_pair,85,0,0,0,0,0,-1
overhead,timer_pair,86,0,0,0,0,0,-1
overhead,timer_pair,87,100,0,0,0,0,-1
overhead,timer_pair,88,0,0,0,0,0,-1
overhead,timer_pair,89,100,0,0,0,0,-1
overhead,timer_pair,90,0,0,0,0,0,-1
overhead,timer_pair,91,100,0,0,0,0,-1
overhead,timer_pair,92,0,0,0,0,0,-1
overhead,timer_pair,93,0,0,0,0,0,-1
overhead,timer_pair,94,100,0,0,0,0,-1
overhead,timer_pair,95,0,0,0,0,0,-1
overhead,timer_pair,96,100,0,0,0,0,-1
overhead,timer_pair,97,0,0,0,0,0,-1
overhead,timer_pair,98,100,0,0,0,0,-1
overhead,timer_pair,99,0,0,0,0,0,-1
overhead,timer_pair,100,0,0,0,0,0,-1
overhead,timer_pair,101,0,0,0,0,0,-1
overhead,timer_pair,102,100,0,0,0,0,-1
overhead,timer_pair,103,100,0,0,0,0,-1
overhead,timer_pair,104,0,0,0,0,0,-1
overhead,timer_pair,105,0,0,0,0,0,-1
overhead,timer_pair,106,0,0,0,0,0,-1
overhead,timer_pair,107,100,0,0,0,0,-1
overhead,timer_pair,108,100,0,0,0,0,-1
overhead,timer_pair,109,0,0,0,0,0,-1
overhead,timer_pair,110,0,0,0,0,0,-1
overhead,timer_pair,111,0,0,0,0,0,-1
overhead,timer_pair,112,100,0,0,0,0,-1
overhead,timer_pair,113,0,0,0,0,0,-1
overhead,timer_pair,114,0,0,0,0,0,-1
overhead,timer_pair,115,0,0,0,0,0,-1
overhead,timer_pair,116,100,0,0,0,0,-1
overhead,timer_pair,117,0,0,0,0,0,-1
overhead,timer_pair,118,100,0,0,0,0,-1
overhead,timer_pair,119,0,0,0,0,0,-1
overhead,timer_pair,120,0,0,0,0,0,-1
overhead,timer_pair,121,0,0,0,0,0,-1
overhead,timer_pair,122,0,0,0,0,0,-1
overhead,timer_pair,123,0,0,0,0,0,-1
overhead,timer_pair,124,0,0,0,0,0,-1
overhead,timer_pair,125,0,0,0,0,0,-1
overhead,timer_pair,126,0,0,0,0,0,-1
overhead,timer_pair,127,0,0,0,0,0,-1
overhead,timer_pair,128,100,0,0,0,0,-1
overhead,timer_pair,129,0,0,0,0,0,-1
overhead,timer_pair,130,0,0,0,0,0,-1
overhead,timer_pair,131,100,0,0,0,0,-1
overhead,timer_pair,132,0,0,0,0,0,-1
overhead,timer_pair,133,0,0,0,0,0,-1
overhead,timer_pair,134,0,0,0,0,0,-1
overhead,timer_pair,135,100,0,0,0,0,-1
overhead,timer_pair,136,100,0,0,0,0,-1
overhead,timer_pair,137,0,0,0,0,0,-1
overhead,timer_pair,138,0,0,0,0,0,-1
overhead,timer_pair,139,100,0,0,0,0,-1
overhead,timer_pair,140,0,0,0,0,0,-1
overhead,timer_pair,141,0,0,0,0,0,-1
overhead,timer_pair,142,0,0,0,0,0,-1
overhead,timer_pair,143,0,0,0,0,0,-1
overhead,timer_pair,144,100,0,0,0,0,-1
overhead,timer_pair,145,100,0,0,0,0,-1
overhead,timer_pair,146,100,0,0,0,0,-1
overhead,timer_pair,147,0,0,0,0,0,-1
overhead,timer_pair,148,100,0,0,0,0,-1
overhead,timer_pair,149,0,0,0,0,0,-1
overhead,timer_pair,150,0,0,0,0,0,-1
overhead,timer_pair,151,100,0,0,0,0,-1
overhead,timer_pair,152,0,0,0,0,0,-1
overhead,timer_pair,153,0,0,0,0,0,-1
overhead,timer_pair,154,0,0,0,0,0,-1
overhead,timer_pair,155,100,0,0,0,0,-1
overhead,timer_pair,156,0,0,0,0,0,-1
overhead,timer_pair,157,0,0,0,0,0,-1
overhead,timer_pair,158,100,0,0,0,0,-1
overhead,timer_pair,159,0,0,0,0,0,-1
overhead,timer_pair,160,100,0,0,0,0,-1
overhead,timer_pair,161,0,0,0,0,0,-1
overhead,timer_pair,162,0,0,0,0,0,-1
overhead,timer_pair,163,0,0,0,0,0,-1
overhead,timer_pair,164,100,0,0,0,0,-1
overhead,timer_pair,165,0,0,0,0,0,-1
overhead,timer_pair,166,0,0,0,0,0,-1
overhead,timer_pair,167,0,0,0,0,0,-1
overhead,timer_pair,168,100,0,0,0,0,-1
overhead,timer_pair,169,0,0,0,0,0,-1
overhead,timer_pair,170,0,0,0,0,0,-1
overhead,timer_pair,171,0,0,0,0,0,-1
overhead,timer_pair,172,100,0,0,0,0,-1
overhead,timer_pair,173,0,0,0,0,0,-1
overhead,timer_pair,174,0,0,0,0,0,-1
overhead,timer_pair,175,0,0,0,0,0,-1
overhead,timer_pair,176,0,0,0,0,0,-1
overhead,timer_pair,177,100,0,0,0,0,-1
overhead,timer_pair,178,0,0,0,0,0,-1
overhead,timer_pair,179,0,0,0,0,0,-1
overhead,timer_pair,180,100,0,0,0,0,-1
overhead,timer_pair,181,0,0,0,0,0,-1
overhead,timer_pair,182,0,0,0,0,0,-1
overhead,timer_pair,183,0,0,0,0,0,-1
