"category","case","sample","elapsed_ns","rows","hits","misses","evictions","selected_id","process_run","mode"
"sqlite","existing_open","0","1569000","1000","0","0","0","-1","1","sqlite"
"sqlite","all","0","1323000","1000","0","0","0","-1","1","sqlite"
"sqlite","HARBOR","0","225800","25","0","0","0","-1","1","sqlite"
"sqlite","NÖRDLICHE","0","236100","39","0","0","0","-1","1","sqlite"
"sqlite","zzzz","0","173100","0","0","0","0","-1","1","sqlite"
"sqlite","existing_open","0","1034200","1000","0","0","0","-1","2","sqlite"
"sqlite","all","0","1105400","1000","0","0","0","-1","2","sqlite"
"sqlite","HARBOR","0","242500","25","0","0","0","-1","2","sqlite"
"sqlite","NÖRDLICHE","0","236800","39","0","0","0","-1","2","sqlite"
"sqlite","zzzz","0","188000","0","0","0","0","-1","2","sqlite"
"sqlite","existing_open","0","1004000","1000","0","0","0","-1","3","sqlite"
"sqlite","all","0","1248200","1000","0","0","0","-1","3","sqlite"
"sqlite","HARBOR","0","234800","25","0","0","0","-1","3","sqlite"
"sqlite","NÖRDLICHE","0","461700","39","0","0","0","-1","3","sqlite"
"sqlite","zzzz","0","316500","0","0","0","0","-1","3","sqlite"
